group,nouns,adjectives,verbs,adverbs,pronouns,conjunctions,prepositions
1978,36.250,14.610,16.988,6.165,1.899,4.488,19.598
1979,37.730,15.424,15.501,5.611,1.404,5.132,19.195
1980,35.530,14.199,17.419,6.840,2.400,5.540,18.077
1981,37.480,13.562,17.189,6.301,2.265,4.555,18.647
1982,37.460,14.090,16.898,6.310,1.853,5.020,18.365
1983,37.060,13.758,18.452,5.897,2.256,4.863,17.718
1984,37.430,16.968,13.459,6.126,1.959,4.899,19.156
1985,38.170,17.410,13.977,5.522,2.237,4.439,18.242
1986,38.120,13.150,18.011,5.680,1.977,4.476,18.590
1987,37.940,13.805,17.776,5.527,1.998,4.732,18.217
1988,37.570,16.981,15.563,5.742,1.589,4.862,17.688
1989,37.730,15.017,17.561,5.221,2.098,5.327,17.045
1990,37.640,14.575,16.985,5.492,1.656,4.890,18.756
1991,38.300,14.440,17.209,5.665,1.598,5.375,17.413
1992,37.650,14.500,18.137,5.410,1.487,5.414,17.399
1993,38.790,14.039,16.139,5.281,1.313,5.392,19.046
1994,39.500,14.195,17.290,5.065,1.154,5.313,17.485
1995,37.760,13.943,16.797,5.672,1.844,5.660,18.322
1996,37.190,14.816,17.274,6.244,1.749,6.087,16.636
1997,36.590,15.108,18.021,5.621,1.907,5.735,17.018
1998,37.010,13.676,18.806,5.940,2.576,5.101,16.886
1999,38.350,14.928,17.912,4.960,1.736,5.122,16.996
2000,38.390,14.911,16.906,4.814,1.984,5.692,17.299
2002,38.740,14.602,17.448,4.648,1.563,4.829,18.166
2003,37.820,15.055,17.756,4.965,1.562,6.378,16.468
2004,38.490,13.980,17.822,5.434,1.885,5.595,16.793
2005,39.250,13.148,18.403,5.003,1.802,5.380,17.014
2006,37.610,14.518,16.381,5.390,1.943,5.527,18.626
2007,37.930,14.010,17.569,5.469,2.337,5.200,17.487
2008,40.890,14.790,15.582,4.418,1.209,5.856,17.257
2009,39.980,13.892,16.017,4.918,1.532,5.645,18.017
2010,40.250,13.676,17.632,4.895,1.519,5.971,16.062
2011,39.530,14.964,16.268,4.312,1.495,6.520,16.912
2012,39.530,12.622,16.291,4.992,2.167,6.192,18.209
2013,39.260,12.971,16.961,5.217,1.741,5.806,18.040
2014,39.090,14.850,17.583,4.766,1.664,6.081,15.962
2015,36.570,12.744,19.726,5.880,3.159,4.741,17.182
2016,39.960,13.853,17.129,5.221,1.721,6.006,16.107
2017,38.480,13.792,17.960,5.017,1.924,5.087,17.737
2018,37.980,13.477,19.119,6.041,2.141,4.397,16.840
2019,39.760,14.073,17.367,4.852,1.610,3.986,18.348
2020,41.140,13.236,16.052,4.904,1.390,5.295,17.984
2021,41.090,13.898,17.304,4.114,1.374,5.641,16.580
